Rank,Player Name,Team,Points,Errors,Attempts,Average Per Match,Success,Total
24,Nishiyama,JPN,3,3,1,1.0,42.86,7
24,Bednorz,POL,3,1,4,1.0,37.5,8
24,Lucas,BRA,3,1,5,3.0,33.33,9
25,Carle,FRA,2,0,3,2.0,40.0,5
25,Martinez Franchi,ARG,2,0,4,2.0,33.33,6
25,Ramos,ARG,2,0,2,2.0,50.0,4
25,Kozamernik,SLO,2,0,1,2.0,66.67,3
25,Leal,BRA,2,0,2,2.0,50.0,4
26,Hanes,USA,1,1,0,0.33,50.0,2
26,Christenson,USA,1,0,3,0.33,25.0,4
26,Toniutti,FRA,1,0,0,1.0,100.0,1
26,Zelayeta,ARG,1,0,0,1.0,100.0,1
26,Armoa Morel,ARG,1,3,3,1.0,14.29,7
26,Otsuka,JPN,1,2,4,0.33,14.29,7
26,Semeniuk,POL,1,0,0,0.33,100.0,1
26,Roque,BRA,1,0,2,1.0,33.33,3
27,Jendryk,USA,0,0,0,,,0
27,Dagostino,USA,0,0,0,,,0
27,Ma'a,USA,0,0,1,0.0,0.0,1
27,E. Shoji,USA,0,0,0,,,0
27,Grebennikov,FRA,0,0,0,,,0
27,Brizard,FRA,0,0,2,0.0,0.0,2
27,Bultor,FRA,0,0,0,,,0
27,Louati,FRA,0,0,0,,,0
27,Diez,FRA,0,0,0,,,0
27,Jouffroy,FRA,0,0,0,,,0
27,Balaso,ITA,0,0,0,,,0
27,Sbertoli,ITA,0,0,0,,,0
27,Scanferla,ITA,0,0,0,,,0
27,Bottolo,ITA,0,0,0,,,0
27,Gironi,ITA,0,1,2,0.0,0.0,3
27,Rinaldi,ITA,0,0,0,,,0
27,Sanguinetti,ITA,0,0,0,,,0
27,Mosca,ITA,0,0,0,,,0
27,Sanchez Pages,ARG,0,0,0,,,0
27,Gallego,ARG,0,0,0,,,0
27,Danani,ARG,0,0,0,,,0
27,Lima B.,ARG,0,0,0,,,0
27,De Cecco,ARG,0,0,0,,,0
27,Zerba,ARG,0,0,0,,,0
27,Sekita,JPN,0,0,2,0.0,0.0,2
27,Kentaro,JPN,0,0,1,0.0,0.0,1
27,Tomita,JPN,0,0,0,,,0
27,Ogawa,JPN,0,0,0,,,0
27,Yamamoto,JPN,0,0,0,,,0
27,Eiro,JPN,0,0,0,,,0
27,Planinšič,SLO,0,0,0,,,0
27,Kök,SLO,0,0,0,,,0
27,Toman,SLO,0,0,0,,,0
27,Štalekar,SLO,0,0,0,,,0
27,Koncilja,SLO,0,0,0,,,0
27,Kovačič,SLO,0,0,0,,,0
27,Z. Štern,SLO,0,1,2,0.0,0.0,3
27,Ropret,SLO,0,0,1,0.0,0.0,1
27,Mujanović,SLO,0,0,0,,,0
27,Popiwczak,POL,0,0,0,,,0
27,Łomacz,POL,0,0,0,,,0
27,Zatorski,POL,0,0,0,,,0
27,Janusz,POL,0,0,0,,,0
27,Bruno,BRA,0,0,0,,,0
27,Otávio,BRA,0,0,0,,,0
27,Adriano,BRA,0,0,0,,,0
27,Fernando,BRA,0,0,0,,,0
27,Maique,BRA,0,0,0,,,0
27,Thales,BRA,0,0,0,,,0
27,Judson,BRA,0,0,0,,,0
27,Larry,JPN,0,0,0,,,0
