Rank,Player Name,Team,Points,Errors,Attemps,Average Per Match,Success,Total
9,Bisotto,ITA,0,0,1,0.0,0.0,1
9,Balaso,ITA,0,0,0,,,0
9,Boninfante,ITA,0,18,47,0.0,0.0,65
9,Dirlic P.,CRO,0,3,15,0.0,0.0,18
9,Podraščanin,ITA,0,5,20,0.0,0.0,25
9,Davi Tenorio,ESP,0,0,0,,,0
9,Arthur,BRA,0,0,0,,,0
9,Wallaf,BRA,0,0,0,,,0
9,Gustavo,BRA,0,0,18,0.0,0.0,18
9,Lucas Loh,BRA,0,2,22,0.0,0.0,24
9,Rech,BRA,0,0,11,0.0,0.0,11
9,Pietro,BRA,0,4,32,0.0,0.0,36
9,Aladdin,BRA,0,1,2,0.0,0.0,3
9,Pedro,BRA,0,0,0,,,0
9,Rafa,BRA,0,4,4,0.0,0.0,8
9,Halim,EGY,0,2,27,0.0,0.0,29
9,Hamada,EGY,0,3,37,0.0,0.0,40
9,M. Ramadan,EGY,0,0,0,,,0
9,Garcia,CUB,0,0,0,,,0
9,Seif Abed,EGY,0,2,2,0.0,0.0,4
9,A. Seoudy,EGY,0,0,1,0.0,0.0,1
9,Z. Osama,EGY,0,3,8,0.0,0.0,11
9,Oppenkoski,BRA,0,0,2,0.0,0.0,2
9,Felipe,BRA,0,0,0,,,0
9,Velasco,COL,0,0,0,,,0
9,Lukinhas,BRA,0,0,0,,,0
9,Rodrigo,BRA,0,0,0,,,0
9,Douglas,BRA,0,3,14,0.0,0.0,17
9,Alexandre,BRA,0,0,0,,,0
9,Martos,BRA,0,0,0,,,0
9,Albrecht,ARG,0,0,0,,,0
9,Maciel,ARG,0,3,19,0.0,0.0,22
9,Zalcman,ARG,0,0,0,,,0
9,Nicolas,ARG,0,0,0,,,0
9,Soria R.,ARG,0,1,19,0.0,0.0,20
9,Soria S.,ARG,0,1,12,0.0,0.0,13
9,Steeman,ARG,0,1,2,0.0,0.0,3
